State,Measures,Year,Values
Hawaii,Vehicles,2017,1259541
Hawaii,Licensed drivers,2017,951008
Hawaii,Transit Ridership,2010,78911384
Hawaii,Highway Fatalities,2010,113
Hawaii,Highway use of gasoline (thousand gallons),2010,409601
Hawaii,Highway vehicle-miles traveled (millions),2010,9994.649305
Hawaii,Vehicles,2010,904467
Hawaii,Licensed drivers,2010,909407
Hawaii,Transit Ridership,2011,79572508
Hawaii,Highway Fatalities,2011,100
Hawaii,Highway use of gasoline (thousand gallons),2011,461331
Hawaii,Highway vehicle-miles traveled (millions),2011,10066.37931
Hawaii,Vehicles,2011,1148040
Hawaii,Licensed drivers,2011,911660
Hawaii,Transit Ridership,2016,74081691
Hawaii,Highway Fatalities,2016,120
Hawaii,Highway use of gasoline (thousand gallons),2016,444048
Hawaii,Highway vehicle-miles traveled (millions),2016,10635
Hawaii,Vehicles,2016,1231728
Hawaii,Licensed drivers,2016,931703
Hawaii,Transit Ridership,2012,82641398
Hawaii,Highway Fatalities,2012,125
Hawaii,Highway use of gasoline (thousand gallons),2012,436913
Hawaii,Highway vehicle-miles traveled (millions),2012,10049.66346
Hawaii,Vehicles,2012,1231740
Hawaii,Licensed drivers,2012,915033
Hawaii,Transit Ridership,2015,75246569
Hawaii,Highway Fatalities,2015,93
Hawaii,Highway use of gasoline (thousand gallons),2015,429113
Hawaii,Highway vehicle-miles traveled (millions),2015,10300.52988
Hawaii,Vehicles,2015,1242319
Hawaii,Licensed drivers,2015,909797
Hawaii,Transit Ridership,2013,75287660
Hawaii,Highway Fatalities,2013,102
Hawaii,Highway use of gasoline (thousand gallons),2013,437641
Hawaii,Highway vehicle-miles traveled (millions),2013,10099.35059
Hawaii,Vehicles,2013,1334690
Hawaii,Licensed drivers,2013,915033
Hawaii,Transit Ridership,2014,72235393
Hawaii,Highway Fatalities,2014,95
Hawaii,Highway use of gasoline (thousand gallons),2014,455279
Hawaii,Highway vehicle-miles traveled (millions),2014,10174.34633
Hawaii,Vehicles,2014,1393260
Hawaii,Licensed drivers,2014,902639
Idaho,Transit Ridership,2021,2137454
Idaho,Highway use of gasoline (thousand gallons),2021,758838
Idaho,Highway vehicle-miles traveled (millions),2021,19308.17008
Idaho,Vehicles,2021,1976199
Idaho,Licensed drivers,2021,1343453
Idaho,Transit Ridership,2020,2942307
Idaho,Highway Fatalities,2020,214
Idaho,Highway use of gasoline (thousand gallons),2020,707918
Idaho,Highway vehicle-miles traveled (millions),2020,17406.41762
Idaho,Vehicles,2020,1917677
Idaho,Licensed drivers,2020,1285331
Idaho,Transit Ridership,2022,2541058
Idaho,Highway use of gasoline (thousand gallons),2022,739309
Idaho,Highway vehicle-miles traveled (millions),2022,19157.40384
Idaho,Vehicles,2022,2031331.673
Idaho,Licensed drivers,2022,1392644
Idaho,Transit Ridership,2018,3505934
Idaho,Highway Fatalities,2018,234
Idaho,Highway use of gasoline (thousand gallons),2018,688307
Idaho,Highway vehicle-miles traveled (millions),2018,17709.14577
Idaho,Vehicles,2018,1879670
Idaho,Licensed drivers,2018,1252535
Idaho,Transit Ridership,2019,3416334
Idaho,Highway Fatalities,2019,224
Idaho,Highway use of gasoline (thousand gallons),2019,734046
Idaho,Highway vehicle-miles traveled (millions),2019,18057.66158
Idaho,Vehicles,2019,1954527.866
Idaho,Licensed drivers,2019,1252535
Idaho,Person miles (millions),2017,32924
Idaho,Person trips (millions),2017,4568
Idaho,Persons traveling (thousands),2017,3850
Idaho,Transit Ridership,2017,3533885
Idaho,Highway Fatalities,2017,245
Idaho,Highway use of gasoline (thousand gallons),2017,733892
Idaho,Highway vehicle-miles traveled (millions),2017,17300.37194
Idaho,Vehicles,2017,1835903
Idaho,Licensed drivers,2017,1190367
Idaho,Transit Ridership,2010,3541382
Idaho,Highway Fatalities,2010,209
Idaho,Highway use of gasoline (thousand gallons),2010,657282
Idaho,Highway vehicle-miles traveled (millions),2010,15801.20628
Idaho,Vehicles,2010,1324990
Idaho,Licensed drivers,2010,1069542
Idaho,Transit Ridership,2011,3709795
Idaho,Highway Fatalities,2011,167
Idaho,Highway use of gasoline (thousand gallons),2011,643170
Idaho,Highway vehicle-miles traveled (millions),2011,15936.59932
Idaho,Vehicles,2011,1625200
Idaho,Licensed drivers,2011,1083992
Idaho,Transit Ridership,2016,3263003
Idaho,Highway Fatalities,2016,253
Idaho,Highway use of gasoline (thousand gallons),2016,717347
Idaho,Highway vehicle-miles traveled (millions),2016,17199
Idaho,Vehicles,2016,1842245
Idaho,Licensed drivers,2016,1160922
Idaho,Transit Ridership,2012,3469298
Idaho,Highway Fatalities,2012,184
Idaho,Highway use of gasoline (thousand gallons),2012,660533
Idaho,Highway vehicle-miles traveled (millions),2012,16314.57164
Idaho,Vehicles,2012,1644230
Idaho,Licensed drivers,2012,1092977
Idaho,Transit Ridership,2015,3407692
Idaho,Highway Fatalities,2015,216
Idaho,Highway use of gasoline (thousand gallons),2015,673253
Idaho,Highway vehicle-miles traveled (millions),2015,16661.94971
Idaho,Vehicles,2015,1854019
Idaho,Licensed drivers,2015,1135009
Idaho,Transit Ridership,2013,3207092
Idaho,Highway Fatalities,2013,214
Idaho,Highway use of gasoline (thousand gallons),2013,666601
Idaho,Highway vehicle-miles traveled (millions),2013,15980.10637
Idaho,Vehicles,2013,1692460
Idaho,Licensed drivers,2013,1111485
Idaho,Transit Ridership,2014,3193620
Idaho,Highway Fatalities,2014,186
Idaho,Highway use of gasoline (thousand gallons),2014,703882
Idaho,Highway vehicle-miles traveled (millions),2014,16154.04002
Idaho,Vehicles,2014,1762690
Idaho,Licensed drivers,2014,1128497
Illinois,Transit Ridership,2021,241294397
Illinois,Highway use of gasoline (thousand gallons),2021,3993039
Illinois,Highway vehicle-miles traveled (millions),2021,97529.583
Illinois,Vehicles,2021,11003729
Illinois,Licensed drivers,2021,8364843
Illinois,Transit Ridership,2020,258225708
Illinois,Highway Fatalities,2020,1194
Illinois,Highway use of gasoline (thousand gallons),2020,3662554
Illinois,Highway vehicle-miles traveled (millions),2020,94120.59736
Illinois,Vehicles,2020,10587725
Illinois,Licensed drivers,2020,8225298
Illinois,Transit Ridership,2022,305452772
Illinois,Highway use of gasoline (thousand gallons),2022,3892024
Illinois,Highway vehicle-miles traveled (millions),2022,103752.1869
Illinois,Vehicles,2022,10334435
Illinois,Licensed drivers,2022,8509418
Illinois,Transit Ridership,2018,603890436
Illinois,Highway Fatalities,2018,1035
Illinois,Highway use of gasoline (thousand gallons),2018,4564577
Illinois,Highway vehicle-miles traveled (millions),2018,107954.2539
Illinois,Vehicles,2018,10588910
Illinois,Licensed drivers,2018,8714788
Illinois,Transit Ridership,2019,583489483
Illinois,Highway Fatalities,2019,1009
Illinois,Highway use of gasoline (thousand gallons),2019,4454984
Illinois,Highway vehicle-miles traveled (millions),2019,107524.6445
Illinois,Vehicles,2019,10691946.84
Illinois,Licensed drivers,2019,8546932
Illinois,Person miles (millions),2017,297054
Illinois,Person trips (millions),2017,30158
Illinois,Persons traveling (thousands),2017,23968
Illinois,Transit Ridership,2017,620035477
Illinois,Highway Fatalities,2017,1090
Illinois,Highway use of gasoline (thousand gallons),2017,4613983
Illinois,Highway vehicle-miles traveled (millions),2017,108011.2553
Illinois,Vehicles,2017,10890760
Illinois,Licensed drivers,2017,8529404
Illinois,Transit Ridership,2010,652440449
Illinois,Highway Fatalities,2010,927
Illinois,Highway use of gasoline (thousand gallons),2010,4760179
Illinois,Highway vehicle-miles traveled (millions),2010,105787.8524
Illinois,Vehicles,2010,10078620
Illinois,Licensed drivers,2010,8373969
Illinois,Transit Ridership,2011,673620706
Illinois,Highway Fatalities,2011,918
Illinois,Highway use of gasoline (thousand gallons),2011,4584599
Illinois,Highway vehicle-miles traveled (millions),2011,103234.0169
Illinois,Vehicles,2011,10445210
Illinois,Licensed drivers,2011,8373969
Illinois,Transit Ridership,2016,641617827
Illinois,Highway Fatalities,2016,1078
Illinois,Highway use of gasoline (thousand gallons),2016,4645051
Illinois,Highway vehicle-miles traveled (millions),2016,107314
Illinois,Vehicles,2016,10277182
Illinois,Licensed drivers,2016,8514644
Illinois,Transit Ridership,2012,693653327
Illinois,Highway Fatalities,2012,956
Illinois,Highway use of gasoline (thousand gallons),2012,4520233
Illinois,Highway vehicle-miles traveled (millions),2012,104578.407
Illinois,Vehicles,2012,10131880
Illinois,Licensed drivers,2012,8235745
Illinois,Transit Ridership,2015,664675286
Illinois,Highway Fatalities,2015,998
Illinois,Highway use of gasoline (thousand gallons),2015,4850518
Illinois,Highway vehicle-miles traveled (millions),2015,105223.406
Illinois,Vehicles,2015,10595254
Illinois,Licensed drivers,2015,8462193
Illinois,Transit Ridership,2013,678688535
Illinois,Highway Fatalities,2013,991
Illinois,Highway use of gasoline (thousand gallons),2013,4504374
Illinois,Highway vehicle-miles traveled (millions),2013,105297.1041
Illinois,Vehicles,2013,10193440
Illinois,Licensed drivers,2013,8261582
Illinois,Transit Ridership,2014,665915357
Illinois,Highway Fatalities,2014,924
Illinois,Highway use of gasoline (thousand gallons),2014,4645212
Illinois,Highway vehicle-miles traveled (millions),2014,104905.5064
Illinois,Vehicles,2014,10393500
Illinois,Licensed drivers,2014,8373565
Indiana,Transit Ridership,2021,17070151
Indiana,Highway use of gasoline (thousand gallons),2021,2964920
Indiana,Highway vehicle-miles traveled (millions),2021,78640.39604
Indiana,Vehicles,2021,6241291
Indiana,Licensed drivers,2021,4636114
Indiana,Transit Ridership,2020,17588479
Indiana,Highway Fatalities,2020,897
Indiana,Highway use of gasoline (thousand gallons),2020,2698260
Indiana,Highway vehicle-miles traveled (millions),2020,76607.74049
Indiana,Vehicles,2020,6199901
Indiana,Licensed drivers,2020,4532708
Indiana,Transit Ridership,2022,20270827
Indiana,Highway use of gasoline (thousand gallons),2022,2872476
Indiana,Highway vehicle-miles traveled (millions),2022,95684.40578
Indiana,Vehicles,2022,6256478.642
Indiana,Licensed drivers,2022,4653808
Indiana,Transit Ridership,2018,32182945
Indiana,Highway Fatalities,2018,860
Indiana,Highway use of gasoline (thousand gallons),2018,2971529
Indiana,Highway vehicle-miles traveled (millions),2018,81528.8118
Indiana,Vehicles,2018,6190736
Indiana,Licensed drivers,2018,4589405
Indiana,Transit Ridership,2019,32476948
Indiana,Highway Fatalities,2019,810
Indiana,Highway use of gasoline (thousand gallons),2019,2934667
Indiana,Highway vehicle-miles traveled (millions),2019,82719.12299
Indiana,Vehicles,2019,6223459.576
Indiana,Licensed drivers,2019,4589405
Indiana,Person miles (millions),2017,155168
Indiana,Person trips (millions),2017,15538
Indiana,Persons traveling (thousands),2017,11904
Indiana,Transit Ridership,2017,32502359
Indiana,Highway Fatalities,2017,916
Indiana,Highway use of gasoline (thousand gallons),2017,3044745
Indiana,Highway vehicle-miles traveled (millions),2017,81751.85677
Indiana,Vehicles,2017,6170034
Indiana,Licensed drivers,2017,4553584
Indiana,Transit Ridership,2010,34292604
Indiana,Highway Fatalities,2010,754
Indiana,Highway use of gasoline (thousand gallons),2010,3040895
Indiana,Highway vehicle-miles traveled (millions),2010,75760.50984
Indiana,Vehicles,2010,5698010
Indiana,Licensed drivers,2010,5550469
Indiana,Transit Ridership,2011,36040849
Indiana,Highway Fatalities,2011,751
Indiana,Highway use of gasoline (thousand gallons),2011,2930702
Indiana,Highway vehicle-miles traveled (millions),2011,76485.23088
Indiana,Vehicles,2011,6132770
Indiana,Licensed drivers,2011,6569665
Indiana,Transit Ridership,2016,34256694
Indiana,Highway Fatalities,2016,829
Indiana,Highway use of gasoline (thousand gallons),2016,3046109
Indiana,Highway vehicle-miles traveled (millions),2016,83183
Indiana,Vehicles,2016,6140530
Indiana,Licensed drivers,2016,4553259
Indiana,Transit Ridership,2012,36763970
Indiana,Highway Fatalities,2012,781
Indiana,Highway use of gasoline (thousand gallons),2012,2893749
Indiana,Highway vehicle-miles traveled (millions),2012,78922.58
Indiana,Vehicles,2012,6004370
Indiana,Licensed drivers,2012,5375973
Indiana,Transit Ridership,2015,35897597
Indiana,Highway Fatalities,2015,817
Indiana,Highway use of gasoline (thousand gallons),2015,2999321
Indiana,Highway vehicle-miles traveled (millions),2015,78818.67261
Indiana,Vehicles,2015,6045114
Indiana,Licensed drivers,2015,4467848
Indiana,Transit Ridership,2013,37186228
Indiana,Highway Fatalities,2013,784
Indiana,Highway use of gasoline (thousand gallons),2013,2906274
Indiana,Highway vehicle-miles traveled (millions),2013,78311.29441
Indiana,Vehicles,2013,5574030
Indiana,Licensed drivers,2013,4500403
Indiana,Transit Ridership,2014,37292545
Indiana,Highway Fatalities,2014,745
Indiana,Highway use of gasoline (thousand gallons),2014,3024572
Indiana,Highway vehicle-miles traveled (millions),2014,79203.62949
Indiana,Vehicles,2014,6012600
Indiana,Licensed drivers,2014,4448099
Iowa,Transit Ridership,2021,10024513
Iowa,Highway use of gasoline (thousand gallons),2021,1471486
Iowa,Highway vehicle-miles traveled (millions),2021,33039.27764
Iowa,Vehicles,2021,3839312
Iowa,Licensed drivers,2021,2345355
Iowa,Transit Ridership,2020,19118185
Iowa,Highway Fatalities,2020,337
Iowa,Highway use of gasoline (thousand gallons),2020,1309964
Iowa,Highway vehicle-miles traveled (millions),2020,29751.49674
Iowa,Vehicles,2020,3787224
Iowa,Licensed drivers,2020,2268916
Iowa,Transit Ridership,2022,14850470
Iowa,Highway use of gasoline (thousand gallons),2022,1443681
Iowa,Highway vehicle-miles traveled (millions),2022,32712.07528
Iowa,Vehicles,2022,3779422
Iowa,Licensed drivers,2022,2354046
Iowa,Transit Ridership,2018,24919512
Iowa,Highway Fatalities,2018,319
Iowa,Highway use of gasoline (thousand gallons),2018,1483052
Iowa,Highway vehicle-miles traveled (millions),2018,33282.40004
Iowa,Vehicles,2018,3691892
Iowa,Licensed drivers,2018,2260271
Iowa,Transit Ridership,2019,23659414
Iowa,Highway Fatalities,2019,336
Iowa,Highway use of gasoline (thousand gallons),2019,1486910
Iowa,Highway vehicle-miles traveled (millions),2019,33537.01904
Iowa,Vehicles,2019,3786327.973
Iowa,Licensed drivers,2019,2274431
Iowa,Person miles (millions),2017,89406
Iowa,Person trips (millions),2017,8208
Iowa,Persons traveling (thousands),2017,6392
Iowa,Transit Ridership,2017,25752459
Iowa,Highway Fatalities,2017,330
Iowa,Highway use of gasoline (thousand gallons),2017,1497134
Iowa,Highway vehicle-miles traveled (millions),2017,33482.08769
Iowa,Vehicles,2017,3750077
Iowa,Licensed drivers,2017,2246829
Iowa,Transit Ridership,2010,26490536
Iowa,Highway Fatalities,2010,390
Iowa,Highway use of gasoline (thousand gallons),2010,1544035
Iowa,Highway vehicle-miles traveled (millions),2010,31388.61561
Iowa,Vehicles,2010,3312710
Iowa,Licensed drivers,2010,2166759
Iowa,Transit Ridership,2011,26479442
Iowa,Highway Fatalities,2011,360
Iowa,Highway use of gasoline (thousand gallons),2011,1570233
Iowa,Highway vehicle-miles traveled (millions),2011,31274.31114
Iowa,Vehicles,2011,3496580
Iowa,Licensed drivers,2011,2191715
Iowa,Transit Ridership,2016,27736699
Iowa,Highway Fatalities,2016,402
Iowa,Highway use of gasoline (thousand gallons),2016,1649512
Iowa,Highway vehicle-miles traveled (millions),2016,33337
Iowa,Vehicles,2016,3676290
Iowa,Licensed drivers,2016,2245640
Iowa,Transit Ridership,2012,27624191
Iowa,Highway Fatalities,2012,365
Iowa,Highway use of gasoline (thousand gallons),2012,1474297
Iowa,Highway vehicle-miles traveled (millions),2012,31596.24047
Iowa,Vehicles,2012,3511050
Iowa,Licensed drivers,2012,2217304
Iowa,Transit Ridership,2015,28583499
Iowa,Highway Fatalities,2015,320
Iowa,Highway use of gasoline (thousand gallons),2015,1486300
Iowa,Highway vehicle-miles traveled (millions),2015,33160.97573
Iowa,Vehicles,2015,3636898
Iowa,Licensed drivers,2015,2224130
Iowa,Transit Ridership,2013,27498665
Iowa,Highway Fatalities,2013,317
Iowa,Highway use of gasoline (thousand gallons),2013,1495747
Iowa,Highway vehicle-miles traveled (millions),2013,31641.00166
Iowa,Vehicles,2013,3540760
Iowa,Licensed drivers,2013,2143665
Iowa,Transit Ridership,2014,28488188
Iowa,Highway Fatalities,2014,322
Iowa,Highway use of gasoline (thousand gallons),2014,1570178
Iowa,Highway vehicle-miles traveled (millions),2014,31413.67447
Iowa,Vehicles,2014,3596530
Iowa,Licensed drivers,2014,2227950
Kansas,Transit Ridership,2021,4035330
Kansas,Highway use of gasoline (thousand gallons),2021,1202904
Kansas,Highway vehicle-miles traveled (millions),2021,31692.83414
Kansas,Vehicles,2021,2606313
Kansas,Licensed drivers,2021,2089707
Kansas,Transit Ridership,2020,5705920
Kansas,Highway Fatalities,2020,426
Kansas,Highway use of gasoline (thousand gallons),2020,1179982
Kansas,Highway vehicle-miles traveled (millions),2020,27853.80189
Kansas,Vehicles,2020,2603543
Kansas,Licensed drivers,2020,2004302
Kansas,Transit Ridership,2022,5380289
Kansas,Highway use of gasoline (thousand gallons),2022,1134146
Kansas,Highway vehicle-miles traveled (millions),2022,31333.6436
Kansas,Vehicles,2022,2588185
Kansas,Licensed drivers,2022,2052073
Kansas,Transit Ridership,2018,8063311
Kansas,Highway Fatalities,2018,405
Kansas,Highway use of gasoline (thousand gallons),2018,1205658
Kansas,Highway vehicle-miles traveled (millions),2018,32190.41298
Kansas,Vehicles,2018,2684010
Kansas,Licensed drivers,2018,2149430
Kansas,Transit Ridership,2019,8070857
Kansas,Highway Fatalities,2019,410
Kansas,Highway use of gasoline (thousand gallons),2019,1284250
Kansas,Highway vehicle-miles traveled (millions),2019,31842.51993
Kansas,Vehicles,2019,2682337.267
Kansas,Licensed drivers,2019,2154260
Kansas,Person miles (millions),2017,52792
Kansas,Person trips (millions),2017,6820
Kansas,Persons traveling (thousands),2017,5128
Kansas,Transit Ridership,2017,8507019
Kansas,Highway Fatalities,2017,461
Kansas,Highway use of gasoline (thousand gallons),2017,1227362
Kansas,Highway vehicle-miles traveled (millions),2017,32258.18896
Kansas,Vehicles,2017,2717873
Kansas,Licensed drivers,2017,2029869
Kansas,Transit Ridership,2010,9322122
Kansas,Highway Fatalities,2010,431
Kansas,Highway use of gasoline (thousand gallons),2010,1296822
Kansas,Highway vehicle-miles traveled (millions),2010,29899.65838
Kansas,Vehicles,2010,2436250
Kansas,Licensed drivers,2010,2033092
Kansas,Transit Ridership,2011,9158913
Kansas,Highway Fatalities,2011,386
Kansas,Highway use of gasoline (thousand gallons),2011,1262070
Kansas,Highway vehicle-miles traveled (millions),2011,30021.24703
Kansas,Vehicles,2011,2445970
Kansas,Licensed drivers,2011,2025581
Kansas,Transit Ridership,2016,7365187
Kansas,Highway Fatalities,2016,429
Kansas,Highway use of gasoline (thousand gallons),2016,1287766
Kansas,Highway vehicle-miles traveled (millions),2016,32103
Kansas,Vehicles,2016,2649736
Kansas,Licensed drivers,2016,2030025
Kansas,Transit Ridership,2012,8671723
Kansas,Highway Fatalities,2012,405
Kansas,Highway use of gasoline (thousand gallons),2012,1208024
Kansas,Highway vehicle-miles traveled (millions),2012,30572.47519
Kansas,Vehicles,2012,2449230
Kansas,Licensed drivers,2012,2018029
Kansas,Transit Ridership,2015,9047634
Kansas,Highway Fatalities,2015,355
Kansas,Highway use of gasoline (thousand gallons),2015,1194249
Kansas,Highway vehicle-miles traveled (millions),2015,31379.12459
Kansas,Vehicles,2015,2634856
Kansas,Licensed drivers,2015,2028657
Kansas,Transit Ridership,2013,8893609
Kansas,Highway Fatalities,2013,350
Kansas,Highway use of gasoline (thousand gallons),2013,1253991
Kansas,Highway vehicle-miles traveled (millions),2013,30208.2842
Kansas,Vehicles,2013,2627850
Kansas,Licensed drivers,2013,2017759
Kansas,Transit Ridership,2014,9167082
Kansas,Highway Fatalities,2014,385
Kansas,Highway use of gasoline (thousand gallons),2014,1322139
Kansas,Highway vehicle-miles traveled (millions),2014,30709.71729
Kansas,Vehicles,2014,2542680
Kansas,Licensed drivers,2014,2021271
Kentucky,Transit Ridership,2021,10482945
Kentucky,Highway use of gasoline (thousand gallons),2021,2074053
Kentucky,Highway vehicle-miles traveled (millions),2021,48111.36861
Kentucky,Vehicles,2021,4408730
Kentucky,Licensed drivers,2021,2980331
Kentucky,Transit Ridership,2020,18332554
Kentucky,Highway Fatalities,2020,780
Kentucky,Highway use of gasoline (thousand gallons),2020,1922559
Kentucky,Highway vehicle-miles traveled (millions),2020,46535.80644
Kentucky,Vehicles,2020,4459685
Kentucky,Licensed drivers,2020,2905632
Kentucky,Transit Ridership,2022,12114966
Kentucky,Highway use of gasoline (thousand gallons),2022,2049300
Kentucky,Highway vehicle-miles traveled (millions),2022,48047.12396
Kentucky,Vehicles,2022,4291816
Kentucky,Licensed drivers,2022,2993550
Kentucky,Transit Ridership,2018,23570982
Kentucky,Highway Fatalities,2018,724
Kentucky,Highway use of gasoline (thousand gallons),2018,2130436
Kentucky,Highway vehicle-miles traveled (millions),2018,49543.60624
Kentucky,Vehicles,2018,4368285
Kentucky,Licensed drivers,2018,3032530
Kentucky,Transit Ridership,2019,23124060
Kentucky,Highway Fatalities,2019,732
Kentucky,Highway use of gasoline (thousand gallons),2019,2146204
Kentucky,Highway vehicle-miles traveled (millions),2019,49410.33181
Kentucky,Vehicles,2019,4383222.93
Kentucky,Licensed drivers,2019,3030329
Kentucky,Person miles (millions),2017,131022
Kentucky,Person trips (millions),2017,11722
Kentucky,Persons traveling (thousands),2017,8890
Kentucky,Transit Ridership,2017,24738743
Kentucky,Highway Fatalities,2017,782
Kentucky,Highway use of gasoline (thousand gallons),2017,2125246
Kentucky,Highway vehicle-miles traveled (millions),2017,49239.3341
Kentucky,Vehicles,2017,4293205
Kentucky,Licensed drivers,2017,3019008
Kentucky,Transit Ridership,2010,27793412
Kentucky,Highway Fatalities,2010,760
Kentucky,Highway use of gasoline (thousand gallons),2010,2168790
Kentucky,Highway vehicle-miles traveled (millions),2010,48006.7429
Kentucky,Vehicles,2010,3589120
Kentucky,Licensed drivers,2010,2950191
Kentucky,Transit Ridership,2011,27035706
Kentucky,Highway Fatalities,2011,720
Kentucky,Highway use of gasoline (thousand gallons),2011,2114195
Kentucky,Highway vehicle-miles traveled (millions),2011,48061.31448
Kentucky,Vehicles,2011,3763030
Kentucky,Licensed drivers,2011,2959881
Kentucky,Transit Ridership,2016,25509432
Kentucky,Highway Fatalities,2016,834
Kentucky,Highway use of gasoline (thousand gallons),2016,2134147
Kentucky,Highway vehicle-miles traveled (millions),2016,49313
Kentucky,Vehicles,2016,4224788
Kentucky,Licensed drivers,2016,3031447
Kentucky,Transit Ridership,2012,28556731
Kentucky,Highway Fatalities,2012,746
Kentucky,Highway use of gasoline (thousand gallons),2012,2098219
Kentucky,Highway vehicle-miles traveled (millions),2012,47343.94452
Kentucky,Vehicles,2012,3670570
Kentucky,Licensed drivers,2012,2985234
Kentucky,Transit Ridership,2015,26776761
Kentucky,Highway Fatalities,2015,761
Kentucky,Highway use of gasoline (thousand gallons),2015,2067021
Kentucky,Highway vehicle-miles traveled (millions),2015,48674.69601
Kentucky,Vehicles,2015,4151982
Kentucky,Licensed drivers,2015,3021266
Kentucky,Transit Ridership,2013,28651010
Kentucky,Highway Fatalities,2013,638
Kentucky,Highway use of gasoline (thousand gallons),2013,2074192
Kentucky,Highway vehicle-miles traveled (millions),2013,46995.99686
Kentucky,Vehicles,2013,4031750
Kentucky,Licensed drivers,2013,3019283
Kentucky,Transit Ridership,2014,28146540
Kentucky,Highway Fatalities,2014,672
Kentucky,Highway use of gasoline (thousand gallons),2014,2111377
Kentucky,Highway vehicle-miles traveled (millions),2014,47940.63478
Kentucky,Vehicles,2014,4148720
Kentucky,Licensed drivers,2014,3004919
Louisiana,Transit Ridership,2021,13578088
Louisiana,Highway use of gasoline (thousand gallons),2021,2048296
Louisiana,Highway vehicle-miles traveled (millions),2021,54727.65668
Louisiana,Vehicles,2021,3862490
Louisiana,Licensed drivers,2021,3437733
Louisiana,Transit Ridership,2020,15067848
Louisiana,Highway Fatalities,2020,828
Louisiana,Highway use of gasoline (thousand gallons),2020,1827355
Louisiana,Highway vehicle-miles traveled (millions),2020,48374.10643
Louisiana,Vehicles,2020,3861204
Louisiana,Licensed drivers,2020,3416648
Louisiana,Transit Ridership,2022,19652531
Louisiana,Highway use of gasoline (thousand gallons),2022,1991520
Louisiana,Highway vehicle-miles traveled (millions),2022,56514.03597
Louisiana,Vehicles,2022,4593542
Louisiana,Licensed drivers,2022,3401947
Louisiana,Transit Ridership,2018,32443133
Louisiana,Highway Fatalities,2018,771
Louisiana,Highway use of gasoline (thousand gallons),2018,2037250
Louisiana,Highway vehicle-miles traveled (millions),2018,50045.42745
Louisiana,Vehicles,2018,3885119
Louisiana,Licensed drivers,2018,3425435
Louisiana,Transit Ridership,2019,29307682
Louisiana,Highway Fatalities,2019,727
Louisiana,Highway use of gasoline (thousand gallons),2019,2089133
Louisiana,Highway vehicle-miles traveled (millions),2019,51360.30324
Louisiana,Vehicles,2019,3802745.712
Louisiana,Licensed drivers,2019,3435168
Louisiana,Person miles (millions),2017,81590
Louisiana,Person trips (millions),2017,10598
Louisiana,Persons traveling (thousands),2017,7658
Louisiana,Transit Ridership,2017,33531731
Louisiana,Highway Fatalities,2017,770
Louisiana,Highway use of gasoline (thousand gallons),2017,2046902
Louisiana,Highway vehicle-miles traveled (millions),2017,49220.89766
Louisiana,Vehicles,2017,3906812
Louisiana,Licensed drivers,2017,3425656
Louisiana,Transit Ridership,2010,30910200
Louisiana,Highway Fatalities,2010,721
Louisiana,Highway use of gasoline (thousand gallons),2010,2216089
Louisiana,Highway vehicle-miles traveled (millions),2010,45438.69082
Louisiana,Vehicles,2010,4086130
Louisiana,Licensed drivers,2010,3133631
Louisiana,Transit Ridership,2011,36117201
Louisiana,Highway Fatalities,2011,680
Louisiana,Highway use of gasoline (thousand gallons),2011,2219551
Louisiana,Highway vehicle-miles traveled (millions),2011,46512.71124
Louisiana,Vehicles,2011,4052600
Louisiana,Licensed drivers,2011,3186227
Louisiana,Transit Ridership,2016,33761580
Louisiana,Highway Fatalities,2016,757
Louisiana,Highway use of gasoline (thousand gallons),2016,2128383
Louisiana,Highway vehicle-miles traveled (millions),2016,49156
Louisiana,Vehicles,2016,3904962
Louisiana,Licensed drivers,2016,3395095
Louisiana,Transit Ridership,2012,41026155
Louisiana,Highway Fatalities,2012,723
Louisiana,Highway use of gasoline (thousand gallons),2012,2149410
Louisiana,Highway vehicle-miles traveled (millions),2012,46889.04026
Louisiana,Vehicles,2012,3889420
Louisiana,Licensed drivers,2012,2923744
Louisiana,Transit Ridership,2015,33914123
Louisiana,Highway Fatalities,2015,752
Louisiana,Highway use of gasoline (thousand gallons),2015,2179194
Louisiana,Highway vehicle-miles traveled (millions),2015,48180.25257
Louisiana,Vehicles,2015,3901432
Louisiana,Licensed drivers,2015,3357091
Louisiana,Transit Ridership,2013,38930998
Louisiana,Highway Fatalities,2013,703
Louisiana,Highway use of gasoline (thousand gallons),2013,2191565
Louisiana,Highway vehicle-miles traveled (millions),2013,47757.96708
Louisiana,Vehicles,2013,3957170
Louisiana,Licensed drivers,2013,3278143
Louisiana,Transit Ridership,2014,35431826
Louisiana,Highway Fatalities,2014,740
Louisiana,Highway use of gasoline (thousand gallons),2014,2244508
Louisiana,Highway vehicle-miles traveled (millions),2014,48251.73611
Louisiana,Vehicles,2014,3886930
Louisiana,Licensed drivers,2014,3312630
Maine,Transit Ridership,2021,3899908
Maine,Highway use of gasoline (thousand gallons),2021,599699
Maine,Highway vehicle-miles traveled (millions),2021,14559.825
Maine,Vehicles,2021,1387656
Maine,Licensed drivers,2021,1056535
Maine,Transit Ridership,2020,5343089
Maine,Highway Fatalities,2020,164
Maine,Highway use of gasoline (thousand gallons),2020,535245
